frame,left_detected,right_detected,both_detected,geometry_ok,lane_width_px
264,True,True,True,True,329
265,True,True,True,True,333
266,True,True,True,True,335
267,True,True,True,True,336
268,True,True,True,True,336
269,True,True,True,True,336
270,True,True,True,True,338
271,True,True,True,True,337
272,True,True,True,True,337
273,True,True,True,True,339
274,True,True,True,True,337
275,True,True,True,True,337
276,True,True,True,True,336
277,True,True,True,True,335
278,True,True,True,True,335
279,True,True,True,True,337
280,True,True,True,True,335
281,True,True,True,True,334
282,True,True,True,True,332
283,True,True,True,True,334
284,True,True,True,True,335
285,True,True,True,True,335
286,True,True,True,True,333
287,True,True,True,True,332
288,True,True,True,True,330
289,True,True,True,True,326
290,True,True,True,True,328
291,True,True,True,True,325
292,True,True,True,True,329
293,True,True,True,True,329
294,True,True,True,True,329
295,True,True,True,True,326
296,True,True,True,True,326
297,True,True,True,True,327
298,True,True,True,True,328
299,True,True,True,True,330
300,True,True,True,True,330
301,True,True,True,True,333
302,True,True,True,True,334
303,True,True,True,True,333
304,True,True,True,True,332
305,True,True,True,True,335
306,True,True,True,True,302
307,True,True,True,True,309
308,True,True,True,True,315
309,True,True,True,True,318
310,True,True,True,True,322
311,True,True,True,True,327
312,True,True,True,True,332
313,True,True,True,True,334
314,True,True,True,True,333
315,True,True,True,True,333
316,True,True,True,True,331
317,True,True,True,True,336
318,True,True,True,True,343
319,True,True,True,True,343
320,True,True,True,True,347
321,True,True,True,True,348
322,True,True,True,True,350
323,True,True,True,True,349
324,True,True,True,True,350
325,True,True,True,True,355
326,True,True,True,True,356
327,True,True,True,True,357
328,True,True,True,True,359
329,True,True,True,True,360
330,True,True,True,True,362
331,True,True,True,True,359
332,True,True,True,True,354
333,True,True,True,True,341
334,True,True,True,True,336
335,True,True,True,True,335
336,True,True,True,True,331
337,True,True,True,True,333
338,True,True,True,True,331
339,True,True,True,True,330
340,True,True,True,True,331
341,True,True,True,True,330
342,True,True,True,True,333
343,True,True,True,True,329
344,True,True,True,True,326
345,True,True,True,True,322
346,True,True,True,True,322
347,True,True,True,True,315
348,True,True,True,True,312
349,True,True,True,True,313
350,True,True,True,True,315
351,True,True,True,True,317
352,True,True,True,True,319
353,True,True,True,True,316
354,True,True,True,True,319
355,True,True,True,True,319
356,True,True,True,True,319
357,True,True,True,True,318
358,True,True,True,True,319
359,True,True,True,True,319
360,True,True,True,True,320
361,True,True,True,True,324
362,True,True,True,True,326
363,True,True,True,True,325
364,True,True,True,True,325
365,True,True,True,True,321
366,True,True,True,True,320
367,True,True,True,True,320
368,True,True,True,True,318
369,True,True,True,True,322
370,True,True,True,True,326
371,True,True,True,True,321
372,True,True,True,True,324
373,True,True,True,True,320
374,True,True,True,True,315
375,True,True,True,True,311
376,True,True,True,True,309
377,True,True,True,True,310
378,True,True,True,True,310
379,True,True,True,True,309
380,True,True,True,True,311
381,True,True,True,True,308
382,True,True,True,True,313
383,True,True,True,True,311
384,True,True,True,True,311
385,True,True,True,True,307
386,True,True,True,True,306
387,True,True,True,True,305
388,True,True,True,True,307
389,True,True,True,True,303
390,True,True,True,True,306
391,True,True,True,True,303
392,True,True,True,True,301
393,True,True,True,True,304
394,True,True,True,True,307
395,True,True,True,True,304
396,True,True,True,True,304
397,True,True,True,True,298
398,True,True,True,True,295
399,True,True,True,True,294
400,True,True,True,True,293
401,True,True,True,True,292
402,True,True,True,True,291
403,True,True,True,True,295
404,True,True,True,True,293
405,True,True,True,True,296
406,True,True,True,True,295
407,True,True,True,True,298
408,True,True,True,True,301
409,True,True,True,True,307
410,True,True,True,True,304
411,True,True,True,True,299
412,True,True,True,True,296
413,True,True,True,True,296
414,True,True,True,True,301
415,True,True,True,True,304
416,True,True,True,True,306
417,True,True,True,True,310
418,True,True,True,True,313
419,True,True,True,True,306
420,True,True,True,True,309
421,True,True,True,True,304
422,True,True,True,True,301
423,True,True,True,True,301
424,True,True,True,True,303
425,True,True,True,True,307
426,True,True,True,True,310
427,True,True,True,True,312
428,True,True,True,True,307
429,True,True,True,True,308
430,True,True,True,True,306
431,True,True,True,True,309
432,True,True,True,True,312
433,True,True,True,True,315
434,True,True,True,True,313
435,True,True,True,True,305
436,True,True,True,True,304
437,True,True,True,True,299
438,True,True,True,True,299
439,True,True,True,True,304
440,True,True,True,True,307
441,True,True,True,True,312
442,True,True,True,True,315
443,True,True,True,True,317
444,True,True,True,True,318
445,True,True,True,True,321
446,True,True,True,True,323
447,True,True,True,True,318
448,True,True,True,True,320
449,True,True,True,True,321
450,True,True,True,True,317
451,True,True,True,True,318
452,True,True,True,True,318
453,True,True,True,True,312
454,True,True,True,True,311
455,True,True,True,True,318
456,True,True,True,True,321
457,True,True,True,True,323
458,True,True,True,True,325
459,True,True,True,True,323
460,True,True,True,True,323
461,True,True,True,True,324
462,True,True,True,True,321
463,True,True,True,True,323
464,True,True,True,True,322
465,True,True,True,True,321
466,True,True,True,True,324
467,True,True,True,True,327
468,True,True,True,True,325
469,True,True,True,True,320
470,True,True,True,True,321
471,True,True,True,True,328
472,True,True,True,True,325
473,True,True,True,True,321
474,True,True,True,True,328
475,True,True,True,True,325
476,True,True,True,True,322
477,True,True,True,True,321
478,True,True,True,True,320
479,True,True,True,True,318
480,True,True,True,True,311
481,True,True,True,True,318
482,True,True,True,True,320
483,True,True,True,True,321
484,True,True,True,True,323
485,True,True,True,True,324
486,True,True,True,True,321
487,True,True,True,True,315
488,True,True,True,True,314
489,True,True,True,True,312
490,True,True,True,True,309
491,True,True,True,True,317
492,True,True,True,True,323
493,True,True,True,True,325
494,True,True,True,True,321
495,True,True,True,True,315
496,True,True,True,True,313
497,True,True,True,True,314
498,True,True,True,True,319
499,True,True,True,True,319
500,True,True,True,True,323
501,True,True,True,True,319
502,True,True,True,True,312
503,True,True,True,True,314
504,True,True,True,True,311
505,True,True,True,True,309
506,True,True,True,True,309
507,True,True,True,True,308
508,True,True,True,True,308
509,True,True,True,True,305
510,True,True,True,True,308
511,True,True,True,True,310
512,True,True,True,True,315
513,True,True,True,True,319
514,True,True,True,True,322
515,True,True,True,True,318
516,True,True,True,True,316
517,True,True,True,True,308
518,True,True,True,True,303
519,True,True,True,True,303
520,True,True,True,True,301
521,True,True,True,True,301
522,True,True,True,True,301
523,True,True,True,True,301
524,True,True,True,True,301
525,True,True,True,True,302
526,True,True,True,True,303
527,True,True,True,True,306
528,True,True,True,True,308
529,True,True,True,True,304
530,True,True,True,True,301
531,True,True,True,True,300
532,True,True,True,True,298
533,True,True,True,True,299
534,True,True,True,True,299
535,True,True,True,True,298
536,True,True,True,True,299
537,True,True,True,True,299
538,True,True,True,True,298
539,True,True,True,True,297
540,True,True,True,True,297
541,True,True,True,True,298
542,True,True,True,True,297
543,True,True,True,True,296
544,True,True,True,True,296
545,True,True,True,True,296
546,True,True,True,True,296
547,True,True,True,True,293
548,True,True,True,True,292
549,True,True,True,True,291
550,True,True,True,True,290
551,True,True,True,True,290
552,True,True,True,True,289
553,True,True,True,True,289
554,True,True,True,True,291
555,True,True,True,True,289
556,True,True,True,True,288
557,True,True,True,True,288
558,True,True,True,True,288
559,True,True,True,True,287
560,True,True,True,True,286
561,True,True,True,True,286
562,True,True,True,True,287
563,True,True,True,True,286
564,True,True,True,True,287
565,True,True,True,True,287
566,True,True,True,True,287
567,True,True,True,True,288
568,True,True,True,True,288
569,True,True,True,True,288
570,True,True,True,True,287
571,True,True,True,True,287
572,True,True,True,True,287
573,True,True,True,True,286
574,True,True,True,True,286
575,True,True,True,True,286
576,True,True,True,True,285
577,True,True,True,True,284
578,True,True,True,True,285
579,True,True,True,True,285
580,True,True,True,True,286
581,True,True,True,True,287
582,True,True,True,True,285
583,True,True,True,True,285
584,True,True,True,True,286
585,True,True,True,True,288
586,True,True,True,True,288
587,True,True,True,True,287
588,True,True,True,True,285
589,True,True,True,True,287
590,True,True,True,True,286
591,True,True,True,True,285
592,True,True,True,True,284
593,True,True,True,True,284
594,True,True,True,True,284
595,True,True,True,True,282
596,True,True,True,True,283
597,True,True,True,True,283
598,True,True,True,True,282
599,True,True,True,True,283
600,True,True,True,True,285
601,True,True,True,True,285
602,True,True,True,True,285
603,True,True,True,True,283
604,True,True,True,True,284
605,True,True,True,True,283
606,True,True,True,True,284
607,True,True,True,True,284
608,True,True,True,True,284
609,True,True,True,True,283
610,True,True,True,True,284
611,True,True,True,True,282
612,True,True,True,True,282
613,True,True,True,True,283
614,True,True,True,True,282
615,True,True,True,True,283
616,True,True,True,True,283
617,True,True,True,True,282
618,True,True,True,True,282
619,True,True,True,True,282
620,True,True,True,True,282
621,True,True,True,True,282
622,True,True,True,True,282
623,True,True,True,True,281
624,True,True,True,True,282
625,True,True,True,True,283
626,True,True,True,True,283
627,True,True,True,True,283
628,True,True,True,True,283
